date,clock,stadium,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links
28th May 2023,4:30pm,Emirates Stadium,"60,095",Arsenal,5,Wolverhampton Wanderers,0,51,49,14,6,8,0,4,4,2,2,89,88,3,0,8,4,1,0,82.4,44.4,47.8,52.2,0,3,8,11,0,0,0,0,https://www.skysports.com/football/arsenal-vs-wolverhampton-wanderers/465005
28th May 2023,4:30pm,Villa Park,"42,212",Aston Villa,2,Brighton and Hove Albion,1,40.3,59.7,12,8,5,4,5,3,2,1,75.3,83.6,4,3,4,3,0,6,42.9,15.4,52.2,47.8,3,3,15,16,4,4,0,0,https://www.skysports.com/football/aston-villa-vs-brighton-and-hove-albion/465006
28th May 2023,4:30pm,Gtech Community Stadium,"17,120",Brentford,1,Manchester City,0,34.4,65.6,11,17,4,3,4,6,3,8,79.3,89.8,2,1,3,4,3,0,64.7,35.7,50,50,2,3,12,8,4,0,0,0,https://www.skysports.com/football/brentford-vs-manchester-city/465007
28th May 2023,4:30pm,Stamford Bridge,"40,130",Chelsea,1,Newcastle United,1,64.4,35.6,22,13,5,4,9,5,8,4,88.9,83.3,2,2,10,3,2,1,42.9,42.9,54.5,45.5,3,5,9,11,0,0,0,0,https://www.skysports.com/football/chelsea-vs-newcastle-united/465008
28th May 2023,4:30pm,Selhurst Park,"25,198",Crystal Palace,1,Nottingham Forest,1,66,34,15,7,3,4,8,2,4,1,85.7,69.9,1,0,5,4,2,2,40,52.6,58.3,41.7,3,2,9,13,0,2,0,0,https://www.skysports.com/football/crystal-palace-vs-nottingham-forest/465009
28th May 2023,4:30pm,Goodison Park,"39,201",Everton,1,Bournemouth,0,37.8,62.2,13,7,6,2,5,3,2,2,73.1,83.9,0,0,9,3,0,1,50,58.3,53.8,46.2,1,5,11,12,1,3,0,0,https://www.skysports.com/football/everton-vs-bournemouth/465010
28th May 2023,4:30pm,Elland Road,"36,871",Leeds United,1,Tottenham Hotspur,4,52.1,47.9,19,11,2,7,7,3,10,1,77.3,78,1,3,12,3,1,1,54.5,46.2,54.5,45.5,3,1,8,5,3,0,0,0,https://www.skysports.com/football/leeds-united-vs-tottenham-hotspur/465011
28th May 2023,4:30pm,The King Power Stadium,"32,183",Leicester City,2,West Ham United,1,48.2,51.8,13,16,4,3,6,9,3,4,87.8,88.7,2,1,3,5,2,3,63.6,58.8,68.8,31.3,2,2,8,10,1,1,0,0,https://www.skysports.com/football/leicester-city-vs-west-ham-united/465012
28th May 2023,4:30pm,Old Trafford,"73,465",Manchester United,2,Fulham,1,53.2,46.8,21,10,8,3,7,6,6,1,84.2,84,4,2,5,4,1,1,78.9,66.7,46.4,53.6,2,6,14,10,1,2,0,0,https://www.skysports.com/football/manchester-united-vs-fulham/465013
28th May 2023,4:30pm,St. Mary's Stadium,"31,129",Southampton,4,Liverpool,4,30.9,69.1,15,30,10,8,5,11,0,11,74.5,86.9,1,5,2,9,0,0,71.4,75,54.5,45.5,4,6,4,10,0,2,0,0,https://www.skysports.com/football/southampton-vs-liverpool/465014
25th May 2023,8:00pm,Old Trafford,"73,561",Manchester United,4,Chelsea,1,41.1,58.9,18,14,9,5,4,5,5,4,84,90.4,4,3,3,4,0,0,52.6,61.9,33.3,66.7,4,5,12,6,1,1,0,0,https://www.skysports.com/football/manchester-united-vs-chelsea/464953
24th May 2023,8:00pm,Amex Stadium,"31,388",Brighton and Hove Albion,1,Manchester City,1,39.6,60.4,20,13,7,4,6,6,7,3,84.2,89,2,3,5,1,2,0,50,33.3,42.9,57.1,3,6,16,11,2,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-city/464948
22nd May 2023,8:00pm,"St James' Park, Newcastle","52,152",Newcastle United,0,Leicester City,0,77.6,22.4,23,1,4,1,13,0,6,0,89.5,58.9,1,0,12,1,1,0,33.3,47.1,59.4,40.6,1,3,9,5,2,0,0,0,https://www.skysports.com/football/newcastle-united-vs-leicester-city/465000
21st May 2023,1:30pm,London Stadium,"62,478",West Ham United,3,Leeds United,1,58.8,41.2,19,12,9,3,4,6,6,3,80.9,72.9,4,0,9,5,1,1,72.7,60.9,73.9,26.1,2,6,6,11,1,3,0,0,https://www.skysports.com/football/west-ham-united-vs-leeds-united/465003
21st May 2023,2:00pm,Amex Stadium,"31,507",Brighton and Hove Albion,3,Southampton,1,63,37,26,5,8,1,11,3,7,1,91.7,79.6,1,1,4,3,1,1,69.2,62.5,73.3,26.7,0,5,8,9,2,5,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-southampton/464996
21st May 2023,4:00pm,Etihad Stadium,"53,490",Manchester City,1,Chelsea,0,64.6,35.4,15,13,2,6,7,4,6,3,91.5,86.8,2,2,5,2,2,2,75,70.6,44.4,55.6,6,1,12,9,0,2,0,0,https://www.skysports.com/football/manchester-city-vs-chelsea/464999
20th May 2023,12:30p,Tottenham Hotspur Stadium,"61,514",Tottenham Hotspur,1,Brentford,3,61.8,38.2,22,11,8,4,6,6,8,1,86.2,77.7,2,2,8,2,1,1,50,54.5,59.1,40.9,1,6,11,9,1,1,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-brentford/465002
20th May 2023,3:00pm,Vitality Stadium,"10,240",Bournemouth,0,Manchester United,1,41.5,58.5,10,20,4,5,3,8,3,7,85.4,85.6,1,0,3,6,0,2,58.3,73.1,35,65,4,4,6,7,1,0,0,0,https://www.skysports.com/football/bournemouth-vs-manchester-united/464995
20th May 2023,3:00pm,Craven Cottage,"24,356",Fulham,2,Crystal Palace,2,49.5,50.5,11,11,4,5,3,3,4,3,75.3,78.4,2,1,7,4,2,2,43.8,33.3,52,48,3,2,13,12,3,0,0,0,https://www.skysports.com/football/fulham-vs-crystal-palace/464997
20th May 2023,3:00pm,Anfield,"53,306",Liverpool,1,Aston Villa,1,66.3,33.7,10,6,5,3,1,2,4,1,84.3,66.7,1,2,9,4,4,1,61.1,51.7,65,35,2,4,16,13,3,5,0,0,https://www.skysports.com/football/liverpool-vs-aston-villa/464998
20th May 2023,3:00pm,Molineux,"31,684",Wolverhampton Wanderers,1,Everton,1,53.2,46.8,13,19,5,4,6,9,2,6,78.7,75.9,0,3,1,7,1,0,41.7,52.6,37.5,62.5,3,4,18,10,5,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-everton/465004
20th May 2023,5:30pm,The City Ground,"29,514",Nottingham Forest,1,Arsenal,0,18.3,81.7,6,11,2,3,3,7,1,1,49.7,89,0,0,3,6,1,1,66.7,37.5,25,75,3,1,11,12,3,2,0,0,https://www.skysports.com/football/nottingham-forest-vs-arsenal/465001
18th May 2023,7:30pm,"St James' Park, Newcastle","52,122",Newcastle United,4,Brighton and Hove Albion,1,33.7,66.3,22,8,9,2,6,3,7,3,70.9,84.1,5,1,6,1,1,2,90.9,71.4,68.2,31.8,1,5,17,16,2,4,0,0,https://www.skysports.com/football/newcastle-united-vs-brighton-and-hove-albion/464882
15th May 2023,8:00pm,The King Power Stadium,"32,225",Leicester City,0,Liverpool,3,33.1,66.9,4,16,4,5,0,6,0,5,69.5,85.3,1,3,4,4,3,4,47.2,66.7,52.2,47.8,2,4,11,17,2,1,0,0,https://www.skysports.com/football/leicester-city-vs-liverpool/464992
14th May 2023,2:00pm,Gtech Community Stadium,"17,075",Brentford,2,West Ham United,0,53.1,46.9,24,4,10,4,9,0,5,0,81.2,79,5,0,7,5,3,3,55,81.8,48.6,51.4,4,7,5,5,1,0,0,0,https://www.skysports.com/football/brentford-vs-west-ham-united/464987
14th May 2023,2:00pm,Goodison Park,"39,376",Everton,0,Manchester City,3,36.8,63.2,7,9,3,4,3,3,1,2,85,91,1,1,8,6,1,0,68.8,71.4,50,50,1,2,12,4,1,0,0,0,https://www.skysports.com/football/everton-vs-manchester-city/464990
14th May 2023,4:30pm,Emirates Stadium,"60,139",Arsenal,0,Brighton and Hove Albion,3,40.9,59.1,14,12,2,6,8,5,4,1,76.7,83.4,1,2,5,2,1,4,30,60,42.1,57.9,3,2,13,17,1,2,0,0,https://www.skysports.com/football/arsenal-vs-brighton-and-hove-albion/464985
13th May 2023,12:30p,Elland Road,"36,955",Leeds United,2,Newcastle United,2,36.1,63.9,9,18,4,5,3,7,2,6,64.4,80.8,0,0,2,6,0,2,52.2,57.1,37.9,62.1,3,2,16,14,3,2,1,0,https://www.skysports.com/football/leeds-united-vs-newcastle-united/464991
13th May 2023,3:00pm,Villa Park,"42,164",Aston Villa,2,Tottenham Hotspur,1,48.7,51.3,8,5,4,2,4,2,0,1,85,85.3,3,1,8,3,2,9,72.7,43.8,42.9,57.1,1,2,9,14,3,3,0,0,https://www.skysports.com/football/aston-villa-vs-tottenham-hotspur/464986
13th May 2023,3:00pm,Stamford Bridge,"40,030",Chelsea,2,Nottingham Forest,2,76.1,23.9,14,11,6,2,3,7,5,2,89.1,60.8,1,3,2,5,1,2,64.3,53.6,55.2,44.8,0,4,13,15,3,1,0,0,https://www.skysports.com/football/chelsea-vs-nottingham-forest/464988
13th May 2023,3:00pm,Selhurst Park,"25,034",Crystal Palace,2,Bournemouth,0,59.8,40.2,17,5,5,0,7,1,5,4,85.6,80.5,2,0,11,2,2,1,72.7,50,42.3,57.7,0,3,5,12,0,2,0,0,https://www.skysports.com/football/crystal-palace-vs-bournemouth/464989
13th May 2023,3:00pm,Old Trafford,"73,570",Manchester United,2,Wolverhampton Wanderers,0,48,52,27,5,9,0,11,5,7,0,81.8,80.4,4,0,11,7,0,1,61.5,87.5,53.3,46.7,0,8,9,9,3,2,0,0,https://www.skysports.com/football/manchester-united-vs-wolverhampton-wanderers/464993
13th May 2023,3:00pm,St. Mary's Stadium,"28,978",Southampton,0,Fulham,2,35.6,64.4,5,9,1,4,2,1,2,4,77.9,87.5,0,2,1,8,4,1,56.3,50,63.6,36.4,1,1,17,12,2,0,0,0,https://www.skysports.com/football/southampton-vs-fulham/464994
8th May 2023,3:00pm,Craven Cottage,"24,442",Fulham,5,Leicester City,3,57.1,42.9,17,18,7,9,5,4,5,5,82,76.8,2,2,2,7,1,4,63.6,57.1,64,36,6,2,13,15,0,3,0,0,https://www.skysports.com/football/fulham-vs-leicester-city/464977
8th May 2023,5:30pm,Amex Stadium,"31,567",Brighton and Hove Albion,1,Everton,5,77.7,22.3,23,10,5,5,9,1,9,4,88.7,65.2,2,4,15,1,1,1,63.6,57.9,45.7,54.3,1,4,11,13,1,5,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-everton/464976
8th May 2023,8:00pm,The City Ground,"29,154",Nottingham Forest,4,Southampton,3,35.9,64.1,9,19,4,5,3,9,2,5,69.6,83.4,1,4,2,11,3,1,40,66.7,60,40,2,0,16,10,1,0,0,0,https://www.skysports.com/football/nottingham-forest-vs-southampton/464981
7th May 2023,4:30pm,"St James' Park, Newcastle","50,267",Newcastle United,0,Arsenal,2,54.3,45.7,12,10,5,6,4,2,3,2,79.7,79.2,2,2,9,4,0,1,50,78.3,58.6,41.4,5,5,16,12,2,1,0,0,https://www.skysports.com/football/newcastle-united-vs-arsenal/464980
7th May 2023,7:00pm,London Stadium,"62,477",West Ham United,1,Manchester United,0,34.6,65.4,15,19,4,4,5,12,6,3,76.2,86.5,2,1,5,6,1,1,41.2,50,53.1,46.9,4,3,4,9,0,2,0,0,https://www.skysports.com/football/west-ham-united-vs-manchester-united/464983
6th May 2023,3:00pm,Vitality Stadium,"10,357",Bournemouth,1,Chelsea,3,34,66,10,11,4,5,4,5,2,1,75.4,88.2,1,2,7,7,1,0,56.3,91.7,50,50,2,3,9,11,1,3,0,0,https://www.skysports.com/football/bournemouth-vs-chelsea/464975
6th May 2023,3:00pm,Etihad Stadium,"53,406",Manchester City,2,Leeds United,1,80.9,19.1,18,4,6,2,10,1,2,1,91.1,59.7,2,0,10,1,4,3,71.4,50,52,48,1,4,3,16,0,3,0,0,https://www.skysports.com/football/manchester-city-vs-leeds-united/464979
6th May 2023,3:00pm,Tottenham Hotspur Stadium,"61,093",Tottenham Hotspur,1,Crystal Palace,0,57.5,42.5,8,7,3,2,3,3,2,2,84,75.4,3,0,8,4,1,0,46.2,73.3,63.3,36.7,2,2,15,14,3,5,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-crystal-palace/464982
6th May 2023,3:00pm,Molineux,"31,641",Wolverhampton Wanderers,1,Aston Villa,0,38,62,6,16,2,3,2,6,2,7,73.5,85.9,1,2,5,6,3,2,69.2,70,32.1,67.9,3,1,20,9,3,3,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-aston-villa/464984
6th May 2023,5:30pm,Anfield,"52,838",Liverpool,1,Brentford,0,53.9,46.1,15,5,5,1,6,3,4,1,81.5,74.8,2,0,7,3,1,2,55.6,54.5,50,50,2,4,19,10,4,2,0,0,https://www.skysports.com/football/liverpool-vs-brentford/464978
4th May 2023,8:00pm,Amex Stadium,"31,577",Brighton and Hove Albion,1,Manchester United,0,59.6,40.4,22,16,6,5,11,6,5,5,86.3,75.6,0,2,8,6,0,2,53.3,65,63.2,36.8,5,5,10,14,4,4,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-united/464908
3rd May 2023,8:00pm,Anfield,"52,602",Liverpool,1,Fulham,0,57.1,42.9,15,9,3,3,9,3,3,3,85.2,83.9,1,1,7,5,3,2,57.1,53.3,66.7,33.3,3,2,10,8,0,0,0,0,https://www.skysports.com/football/liverpool-vs-fulham/464910
3rd May 2023,8:00pm,Etihad Stadium,"53,305",Manchester City,3,West Ham United,0,68.9,31.1,16,6,7,2,7,3,2,1,90.7,78,6,1,6,3,1,0,56.3,66.7,41.7,58.3,2,4,8,8,0,1,0,0,https://www.skysports.com/football/manchester-city-vs-west-ham-united/464911
2nd May 2023,8:00pm,Emirates Stadium,"60,144",Arsenal,3,Chelsea,1,54.8,45.2,16,7,10,4,3,1,3,2,86.6,84.2,1,2,7,2,1,0,33.3,73.3,37.5,62.5,3,6,10,10,0,2,0,0,https://www.skysports.com/football/arsenal-vs-chelsea/464965
1st May 2023,8:00pm,The King Power Stadium,"32,173",Leicester City,2,Everton,2,55.3,44.7,15,23,6,8,4,9,5,6,74.1,72.1,3,1,2,9,6,3,52.6,60,47.6,52.4,6,3,10,12,4,1,0,0,https://www.skysports.com/football/leicester-city-vs-everton/464971
30th April 2023,2:00pm,Vitality Stadium,"10,434",Bournemouth,4,Leeds United,1,42.1,57.9,12,15,7,6,2,7,3,2,73,80.4,2,1,2,6,2,1,50,42.1,34.3,65.7,5,3,12,14,1,0,0,0,https://www.skysports.com/football/bournemouth-vs-leeds-united/464966
30th April 2023,2:00pm,Craven Cottage,"24,498",Fulham,1,Manchester City,2,37.4,62.6,4,12,1,9,1,3,2,0,81.3,87,1,1,2,5,3,1,63.6,71.4,46.9,53.1,7,0,9,10,1,3,0,0,https://www.skysports.com/football/fulham-vs-manchester-city/464970
30th April 2023,2:00pm,Old Trafford,"73,592",Manchester United,1,Aston Villa,0,57.1,42.9,14,7,6,1,6,2,2,4,84.9,78.1,1,0,1,4,7,3,78.6,46.7,50,50,1,5,16,7,2,0,0,0,https://www.skysports.com/football/manchester-united-vs-aston-villa/464973
30th April 2023,2:00pm,"St James' Park, Newcastle","52,234",Newcastle United,3,Southampton,1,63.4,36.6,22,4,5,3,9,1,8,0,81.9,69.8,3,1,11,2,1,2,41.2,69.6,75,25,2,3,7,10,1,4,0,0,https://www.skysports.com/football/newcastle-united-vs-southampton/464974
30th April 2023,4:30pm,Anfield,"53,275",Liverpool,4,Tottenham Hotspur,3,67.6,32.4,12,10,4,7,4,3,4,0,88.3,73.7,2,4,5,2,0,5,68.8,62.5,74.1,25.9,3,0,12,6,3,2,0,0,https://www.skysports.com/football/liverpool-vs-tottenham-hotspur/464972
29th April 2023,12:30p,Selhurst Park,"25,148",Crystal Palace,4,West Ham United,3,59.9,40.1,16,8,6,4,4,3,6,1,78.7,65.6,0,1,8,5,1,1,61.9,65.2,57.4,42.6,1,2,9,17,1,2,0,0,https://www.skysports.com/football/crystal-palace-vs-west-ham-united/464969
29th April 2023,3:00pm,Gtech Community Stadium,"17,080",Brentford,2,Nottingham Forest,1,68.9,31.1,14,5,8,3,3,1,3,1,84.7,68.2,0,1,6,0,1,1,55.6,61.9,48.9,51.1,2,6,6,13,1,2,0,0,https://www.skysports.com/football/brentford-vs-nottingham-forest/464967
29th April 2023,3:00pm,Amex Stadium,"31,584",Brighton and Hove Albion,6,Wolverhampton Wanderers,0,57.2,42.8,22,10,8,2,7,5,7,3,88.2,81.4,4,0,2,5,2,0,60,56.3,90,10,2,2,14,11,1,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-wolverhampton-wanderers/464968
27th April 2023,7:45pm,Goodison Park,"39,248",Everton,1,Newcastle United,4,39.6,60.4,13,15,5,8,5,3,3,4,65.3,74.8,0,1,3,14,3,1,50,50,55,45,3,4,8,6,2,1,0,0,https://www.skysports.com/football/everton-vs-newcastle-united/464956
27th April 2023,7:45pm,St. Mary's Stadium,"30,414",Southampton,0,Bournemouth,1,56.5,43.5,11,16,2,2,6,4,3,10,82,78.4,0,0,6,4,4,2,78.9,57.1,45.5,54.5,1,2,9,11,0,3,0,0,https://www.skysports.com/football/southampton-vs-bournemouth/464964
27th April 2023,8:15pm,Tottenham Hotspur Stadium,"61,586",Tottenham Hotspur,2,Manchester United,2,39.9,60.1,18,17,7,8,7,5,4,4,81.4,86.3,4,3,6,8,2,3,68.4,81.3,52.2,47.8,5,5,8,7,1,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-manchester-united/464959
26th April 2023,7:30pm,The City Ground,"28,808",Nottingham Forest,3,Brighton and Hove Albion,1,24.8,75.2,12,17,5,7,5,6,2,4,66.8,86.5,1,2,2,7,1,2,61.1,64.3,47.4,52.6,6,3,7,8,2,0,0,0,https://www.skysports.com/football/nottingham-forest-vs-brighton-and-hove-albion/464958
26th April 2023,7:45pm,Stamford Bridge,"39,929",Chelsea,0,Brentford,2,72.9,27.1,15,7,4,1,8,5,3,1,88.2,65.8,1,0,5,2,0,2,50,46.2,55.9,44.1,0,4,5,13,1,2,0,0,https://www.skysports.com/football/chelsea-vs-brentford/464962
26th April 2023,7:45pm,London Stadium,"62,473",West Ham United,1,Liverpool,2,27.4,72.6,7,20,2,4,4,9,1,7,69.8,87.4,0,3,3,6,1,1,84.6,55,36.4,63.6,2,1,6,8,0,0,0,0,https://www.skysports.com/football/west-ham-united-vs-liverpool/464960
26th April 2023,8:00pm,Etihad Stadium,"53,482",Manchester City,4,Arsenal,1,51.9,48.1,14,8,9,2,3,3,2,3,85.1,84.7,4,0,1,3,0,1,72.7,40,55.6,44.4,1,5,13,13,3,1,0,0,https://www.skysports.com/football/manchester-city-vs-arsenal/464963
25th April 2023,7:30pm,Molineux,"30,792",Wolverhampton Wanderers,2,Crystal Palace,0,41.2,58.8,9,14,3,4,4,4,2,6,73.8,81.6,0,0,6,11,2,1,38.1,54.5,55.9,44.1,4,2,13,14,5,4,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-crystal-palace/464961
25th April 2023,7:45pm,Villa Park,"41,046",Aston Villa,1,Fulham,0,51.8,48.2,14,1,3,0,4,1,7,0,83.7,81.3,0,0,8,2,0,5,63.6,38.1,65.2,34.8,0,2,6,18,3,2,0,0,https://www.skysports.com/football/aston-villa-vs-fulham/464955
25th April 2023,8:00pm,Elland Road,"36,666",Leeds United,1,Leicester City,1,40.8,59.2,13,15,3,3,6,6,4,6,64.2,73,3,3,3,6,4,6,50,61.9,47.1,52.9,2,2,14,15,4,2,0,0,https://www.skysports.com/football/leeds-united-vs-leicester-city/464957
23rd April 2023,2:00pm,Vitality Stadium,"10,465",Bournemouth,0,West Ham United,4,64.6,35.4,17,18,5,10,7,4,5,4,87.1,77.7,1,3,8,5,0,3,63.6,52.9,48.4,51.6,6,5,7,8,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-west-ham-united/464946
23rd April 2023,2:00pm,"St James' Park, Newcastle","52,252",Newcastle United,6,Tottenham Hotspur,1,57,43,25,11,8,3,5,5,12,3,86.4,79.1,5,1,9,3,2,0,53.8,64.7,71.4,28.6,2,2,7,13,0,3,0,0,https://www.skysports.com/football/newcastle-united-vs-tottenham-hotspur/464954
22nd April 2023,12:30p,Craven Cottage,"24,356",Fulham,2,Leeds United,1,49.3,50.7,12,10,5,2,3,4,4,4,74.9,72.4,0,0,8,6,5,2,57.9,50,42.1,57.9,2,3,10,15,1,4,0,0,https://www.skysports.com/football/fulham-vs-leeds-united/464950
22nd April 2023,3:00pm,Gtech Community Stadium,"17,098",Brentford,1,Aston Villa,1,42.5,57.5,16,14,5,2,6,11,5,1,68.2,78.9,3,3,8,4,6,3,37.5,33.3,58.1,41.9,1,4,12,8,3,2,0,0,https://www.skysports.com/football/brentford-vs-aston-villa/464947
22nd April 2023,3:00pm,Selhurst Park,"25,202",Crystal Palace,0,Everton,0,56.9,43.1,12,10,2,5,5,3,5,2,74.6,67.3,0,0,8,1,1,3,73.3,64.3,41.9,58.1,5,2,12,14,1,1,0,1,https://www.skysports.com/football/crystal-palace-vs-everton/464949
22nd April 2023,3:00pm,The King Power Stadium,"32,053",Leicester City,2,Wolverhampton Wanderers,1,41.8,58.2,15,16,8,3,4,7,3,6,74.2,81.7,1,0,1,7,1,3,54.5,66.7,55.3,44.7,2,5,17,16,1,3,0,0,https://www.skysports.com/football/leicester-city-vs-wolverhampton-wanderers/464951
22nd April 2023,3:00pm,Nan,Nan,Liverpool,3,Nottingham Forest,2,81.1,18.9,18,11,6,5,7,5,5,1,87.7,52.7,5,1,9,3,2,3,57.1,73.3,57.6,42.4,3,2,9,12,0,1,0,0,https://www.skysports.com/football/liverpool-vs-nottingham-forest/464952
21st April 2023,8:00pm,Emirates Stadium,"60,175",Arsenal,3,Southampton,3,74.2,25.8,25,8,6,6,11,1,8,1,86.1,64.6,2,2,7,2,1,2,58.8,68.2,57.7,42.3,3,2,10,14,1,5,0,0,https://www.skysports.com/football/arsenal-vs-southampton/464945
17th April 2023,8:00pm,Elland Road,"36,657",Leeds United,1,Liverpool,6,26.4,73.6,13,13,3,7,7,4,3,2,68.9,89.1,1,4,4,2,1,2,53.8,47.6,52.6,47.4,1,2,6,12,0,1,0,0,https://www.skysports.com/football/leeds-united-vs-liverpool/464938
